Timestamp,"Roughly, what is the proportion of time you spend on watching short video (TikTok, Red Note, Reels, Youtube Shorts) vs long video (Bilibili, Youtube) each week?",Do you have a preferred video format?,What is the most likely reason you stop watching a video?,What attributes or elements of a long video make it more engaging?,Do you experience any decline of attention span in your daily life? ,"If so, where do you experience it?",Would you blame the decline of attention span to watching short videos?,Do you actively search for content or rely on recommendations?,Which of the following is the most likely reason you would share a video with your friends?,Did you lose focus while completing this survey? Please be honest with us!
2/4/2025 9:41:52,75% short videos to 25% long videos,Short Videos,Boring content,"Compelling Storytelling – A well-structured narrative that keeps you invested., High-Quality Production – Clear visuals, good audio, and professional editing., Engaging Pace – A balance between action and slower moments to maintain interest., Informative or Educational Value – Provides new insights or valuable knowledge., Relatable or Charismatic Host – A personality that resonates with the audience.",Yes,"Having difficulty focusing on reading, Can't focus in class, Becoming more forgetful, Having trouble managing time",Yes,Both,Funny Content,No (lie)
2/4/2025 9:47:03,25% short videos to 75% long videos,Long Videos,Content is different from what I expected,"Compelling Storytelling – A well-structured narrative that keeps you invested., High-Quality Production – Clear visuals, good audio, and professional editing., Engaging Pace – A balance between action and slower moments to maintain interest., Informative or Educational Value – Provides new insights or valuable knowledge.",Yes,"Having difficulty focusing on reading, Can't focus in class",No,Both,Funny Content,No
2/4/2025 9:47:44,50% short videos to 50% long videos,Long Videos,Content is different from what I expected,Informative or Educational Value – Provides new insights or valuable knowledge.,Yes,"Can't focus in class, Having trouble managing time",Yes,Both,Funny Content,Yes
2/4/2025 9:54:58,25% short videos to 75% long videos,Long Videos,Boring content,"Compelling Storytelling – A well-structured narrative that keeps you invested., High-Quality Production – Clear visuals, good audio, and professional editing., Informative or Educational Value – Provides new insights or valuable knowledge.",No,,No,Both,Funny Content,No
2/4/2025 10:11:17,75% short videos to 25% long videos,No,reached Ad,"Compelling Storytelling – A well-structured narrative that keeps you invested., Engaging Pace – A balance between action and slower moments to maintain interest., Informative or Educational Value – Provides new insights or valuable knowledge., Relatable or Charismatic Host – A personality that resonates with the audience.",No,,Yes,Both,Emotional resonance,No
2/4/2025 10:12:00,50% short videos to 50% long videos,No,Pace is too slow,Engaging Pace – A balance between action and slower moments to maintain interest.,Yes,"Having difficulty focusing on reading, Having trouble managing time",No,Search,Funny Content,Yes
2/4/2025 10:14:07,25% short videos to 75% long videos,Long Videos,Boring content,"Compelling Storytelling – A well-structured narrative that keeps you invested., High-Quality Production – Clear visuals, good audio, and professional editing., Engaging Pace – A balance between action and slower moments to maintain interest.",Yes,"Having difficulty focusing on reading, Having trouble managing time",No,Both,Funny Content,No
2/4/2025 10:18:33,I only watch short videos,Short Videos,Boring content,Compelling Storytelling – A well-structured narrative that keeps you invested.,Yes,"Having difficulty focusing on reading, Can't focus in class, Becoming more forgetful, Having trouble managing time",Yes,Both,Funny Content,Yes
2/4/2025 10:39:49,50% short videos to 50% long videos,No,Boring content,"Compelling Storytelling – A well-structured narrative that keeps you invested., High-Quality Production – Clear visuals, good audio, and professional editing.",Yes,"Having difficulty focusing on reading, Can't focus in class, Becoming more forgetful, Having trouble managing time",No,Both,Funny Content,No
2/4/2025 10:50:32,25% short videos to 75% long videos,Long Videos,Boring content,"High-Quality Production – Clear visuals, good audio, and professional editing., Engaging Pace – A balance between action and slower moments to maintain interest., Informative or Educational Value – Provides new insights or valuable knowledge.",Yes,"Having difficulty focusing on reading, Can't focus in class",Yes,Recommendations,Funny Content,No
2/4/2025 11:29:07,25% short videos to 75% long videos,Long Videos,Content is different from what I expected,"Compelling Storytelling – A well-structured narrative that keeps you invested., High-Quality Production – Clear visuals, good audio, and professional editing., Engaging Pace – A balance between action and slower moments to maintain interest.",No,,No,Search,Useful info,No
2/4/2025 11:30:43,75% short videos to 25% long videos,Short Videos,Time consuming ,"Compelling Storytelling – A well-structured narrative that keeps you invested., High-Quality Production – Clear visuals, good audio, and professional editing., Engaging Pace – A balance between action and slower moments to maintain interest., Informative or Educational Value – Provides new insights or valuable knowledge., Relatable or Charismatic Host – A personality that resonates with the audience.",Yes,"Having difficulty focusing on reading, Can't focus in class, Becoming more forgetful",Yes,Both,Emotional resonance,No (lie)
2/4/2025 11:43:32,25% short videos to 75% long videos,No,Content is different from what I expected,"Compelling Storytelling – A well-structured narrative that keeps you invested., Informative or Educational Value – Provides new insights or valuable knowledge.",No,,No,Search,Funny Content,No
2/4/2025 13:13:54,25% short videos to 75% long videos,Long Videos,Content is different from what I expected,"High-Quality Production – Clear visuals, good audio, and professional editing., Informative or Educational Value – Provides new insights or valuable knowledge.",Yes,"Having difficulty focusing on reading, Can't focus in class, Becoming more forgetful, Having trouble managing time",Yes,Both,Funny Content,No
2/4/2025 14:02:51,75% short videos to 25% long videos,No,Content is different from what I expected,"High-Quality Production – Clear visuals, good audio, and professional editing., Engaging Pace – A balance between action and slower moments to maintain interest.",Yes,Having difficulty focusing on reading,Yes,Both,Funny Content,No
2/4/2025 14:07:34,25% short videos to 75% long videos,Long Videos,Boring content,"Compelling Storytelling – A well-structured narrative that keeps you invested., High-Quality Production – Clear visuals, good audio, and professional editing., Engaging Pace – A balance between action and slower moments to maintain interest., Relatable or Charismatic Host – A personality that resonates with the audience.",Yes,"Having difficulty focusing on reading, Becoming more forgetful",Yes,Both,Funny Content,No
2/4/2025 16:09:14,50% short videos to 50% long videos,Long Videos,Pace is too slow,"Compelling Storytelling – A well-structured narrative that keeps you invested., High-Quality Production – Clear visuals, good audio, and professional editing., Informative or Educational Value – Provides new insights or valuable knowledge., Relatable or Charismatic Host – A personality that resonates with the audience.",Yes,"Having difficulty focusing on reading, Can't focus in class, Becoming more forgetful, Having trouble managing time",No,Recommendations,Funny Content,No
2/4/2025 17:06:17,I only watch short videos,Short Videos,Pace is too slow,"Compelling Storytelling – A well-structured narrative that keeps you invested., Engaging Pace – A balance between action and slower moments to maintain interest., Informative or Educational Value – Provides new insights or valuable knowledge.",No,,No,Recommendations,Useful info,No
